name,r1,r2,n_members,members,nodes_explored,min_relator_length
ac19_243,YXXyx,YYYXYXyyyXyXYX,3,770 29140 46187,508,2
ac19_244,YYXXYXyyx,YYXXYXXyX,5,771 36103 43944 140262 147024,16,2
ac19_245,YXYXyx,YYXXXXyXYxx,20,772 1831 10953 11055 17647 26738 30314 38149 65367 67170 69857 73983 84681 87650 95511 114040 118648 138769 144571 156000,30,2
ac19_247,YXYXX,YYYXyyyXyXYYxx,1,774,65,2
ac19_248,YXXyx,YYXXYxxYXyXyyX,1,775,26,2
ac19_249,YXXyx,YYYXyXXyyxYxxx,1,776,39,2
ac19_250,YXXyXyX,YYxyxxYxyX,3,777 7764 146539,120,2
ac19_251,YXXyx,YYXXyXYXyXXX,5,778 3552 42465 76236 105161,15,2
ac19_252,YYXXyx,YYXXYxxxxyXXX,3,779 67776 97185,140,2
ac19_253,YXXXyxYx,YYXYXYYXX,5,780 30084 83625 94593 118365,20,2
ac19_254,YYXXyxx,YYxYXYX,19,781 4985 31025 40164 40195 69561 72016 77010 78197 83953 106099 107231 112563 119178 129104 129261 132551 141702 147186,42,2
ac19_256,YXXXyxx,YYXyxyxxYx,5,783 53531 61234 120938 124580,20,2
ac19_258,YYXXXyx,YYxyXyx,19,785 28231 33583 43471 46404 47194 52620 54835 64466 67851 85995 95591 105226 117560 118533 123741 133340 139570 142627,10,2
ac19_259,YXXyx,YYYXXYXyXyyxxx,1,786,109,2
ac19_260,YXXyxYx,YYXyxYYxxyX,3,787 84412 87261,8,2
ac19_261,YXYXYx,YYXyXYxxxyX,5,788 9060 74714 98316 117451,51,2
ac19_262,YXXyx,YYYXyyxYxxyx,3,789 57256 147068,24,2
ac19_263,YXXYx,YYYXXYxYX,17,790 4835 5152 33289 49103 53236 75796 77806 78830 82346 83910 86267 89734 105199 126990 132965 135005,7,2
ac19_264,YXYXXXX,YYXyyXXXXYxx,1,791,12,2
