name,arm,solved,aut_assisted,nodes_explored,budget,cap
ac19_10247,s40_gen,0,1,21,1000,255
ac19_10248,s40_gen,1,0,8,1000,255
ac19_10249,s40_gen,0,1,6,1000,255
ac19_1025,s40_gen,0,1,8,1000,255
ac19_10250,s40_gen,1,0,4,1000,255
ac19_10251,s40_gen,1,0,5,1000,255
ac19_10252,s40_gen,0,1,17,1000,255
ac19_10253,s40_gen,0,1,8,1000,255
ac19_10254,s40_gen,1,0,9,1000,255
ac19_10255,s40_gen,0,0,1000,1000,255
ac19_10256,s40_gen,0,1,34,1000,255
ac19_10257,s40_gen,0,1,9,1000,255
ac19_10258,s40_gen,0,1,8,1000,255
ac19_10259,s40_gen,0,1,25,1000,255
ac19_1026,s40_gen,0,1,12,1000,255
ac19_10260,s40_gen,0,1,10,1000,255
ac19_10261,s40_gen,0,1,7,1000,255
ac19_10262,s40_gen,1,0,4,1000,255
ac19_10263,s40_gen,0,1,9,1000,255
ac19_10264,s40_gen,1,0,9,1000,255
ac19_10265,s40_gen,0,1,17,1000,255
ac19_10266,s40_gen,0,1,7,1000,255
ac19_10267,s40_gen,1,0,5,1000,255
ac19_10268,s40_gen,0,1,36,1000,255
ac19_10269,s40_gen,1,0,14,1000,255
ac19_1027,s40_gen,0,1,10,1000,255
ac19_10270,s40_gen,0,1,77,1000,255
ac19_10271,s40_gen,0,1,66,1000,255
ac19_10272,s40_gen,1,0,7,1000,255
ac19_10273,s40_gen,0,1,17,1000,255
ac19_10274,s40_gen,0,1,133,1000,255
ac19_10275,s40_gen,0,1,14,1000,255
ac19_10276,s40_gen,0,1,6,1000,255
ac19_10277,s40_gen,0,1,17,1000,255
ac19_10278,s40_gen,0,1,54,1000,255
ac19_10279,s40_gen,0,1,42,1000,255
ac19_1028,s40_gen,0,1,78,1000,255
ac19_10280,s40_gen,0,1,8,1000,255
ac19_10281,s40_gen,0,1,7,1000,255
ac19_10282,s40_gen,0,1,14,1000,255
ac19_10283,s40_gen,0,1,10,1000,255
ac19_10284,s40_gen,0,1,13,1000,255
ac19_10285,s40_gen,0,1,14,1000,255
ac19_10286,s40_gen,0,1,28,1000,255
ac19_10287,s40_gen,0,1,12,1000,255
ac19_10288,s40_gen,0,1,9,1000,255
ac19_10289,s40_gen,0,1,17,1000,255
ac19_1029,s40_gen,0,1,14,1000,255
ac19_10290,s40_gen,0,1,8,1000,255
ac19_10291,s40_gen,1,0,5,1000,255
ac19_10292,s40_gen,0,1,717,1000,255
ac19_10293,s40_gen,0,1,16,1000,255
ac19_10294,s40_gen,0,1,142,1000,255
ac19_10295,s40_gen,0,1,9,1000,255
ac19_10296,s40_gen,0,1,11,1000,255
ac19_10297,s40_gen,0,1,23,1000,255
ac19_10298,s40_gen,0,1,232,1000,255
ac19_10299,s40_gen,0,1,54,1000,255
ac19_103,s40_gen,0,1,138,1000,255
ac19_1030,s40_gen,1,0,5,1000,255
ac19_10300,s40_gen,1,0,5,1000,255
ac19_10301,s40_gen,0,1,11,1000,255
ac19_10302,s40_gen,0,1,581,1000,255
ac19_10303,s40_gen,0,1,8,1000,255
ac19_10304,s40_gen,1,0,7,1000,255
ac19_10305,s40_gen,1,0,10,1000,255
ac19_10306,s40_gen,0,1,11,1000,255
ac19_10307,s40_gen,0,1,16,1000,255
ac19_10308,s40_gen,0,1,7,1000,255
ac19_10309,s40_gen,0,1,39,1000,255
ac19_1031,s40_gen,0,1,19,1000,255
ac19_10310,s40_gen,0,1,16,1000,255
ac19_10311,s40_gen,1,0,6,1000,255
ac19_10312,s40_gen,0,1,33,1000,255
ac19_10313,s40_gen,0,1,9,1000,255
ac19_10314,s40_gen,0,1,38,1000,255
ac19_10315,s40_gen,0,1,31,1000,255
ac19_10316,s40_gen,0,1,32,1000,255
