representation,preproc,metric,algorithm,k,ari,nmi,bal_acc
knots+ring,z,euclidean,ward,4,0.2523028504656139,0.2253738186044175,0.7839650470306674
kmer4,z+pca10,correlation,average,3,0.25226026576219335,0.21095653715344764,0.771970835420493
kmer3,z+pca10,correlation,ward,3,0.25212516972635457,0.21090910278562885,0.7706907107474814
ring_dual,z,cosine,ward,4,0.24995719302590888,0.24036800344682163,0.7833806422886402
ring_dual,z,cosine,average,4,0.24995719302590888,0.24036800344682158,0.7833806422886402
ring_dual,z,correlation,ward,4,0.24995719302590888,0.24036800344682163,0.7833806422886402
ring_dual,z,correlation,average,4,0.24995719302590888,0.24036800344682155,0.7833806422886402
knots+ring,z,cosine,ward,4,0.249830240173093,0.22240597813238544,0.7795402682696053
knots+ring,z,correlation,ward,4,0.249830240173093,0.22240597813238544,0.7795402682696053
ring+whitehead+syll,z+pca10,euclidean,ward,4,0.249830240173093,0.2224059781323855,0.7795402682696053
ring+whitehead+syll,z+pca10,cosine,ward,4,0.249830240173093,0.22240597813238544,0.7795402682696053
ring+whitehead+syll,z+pca10,correlation,ward,4,0.249830240173093,0.22240597813238544,0.7795402682696053
ring_autocorr,z+pca10,cosine,average,4,0.24968329304370646,0.22934826927659996,0.7541604051872878
ring_dual,z,cosine,average,5,0.24914259021534574,0.2390377050650564,0.7833806422886402
knots+ring,z,cosine,complete,4,0.24878482702931923,0.23495729551628275,0.7836032726665554
knots+ring,z,euclidean,ward,3,0.24872868580219817,0.24653867049367517,0.7797628986475205
knots+ring,z,cosine,average,4,0.24865773174103212,0.21722046841775647,0.7797628986475205
knots+ring,z,correlation,average,4,0.24865773174103212,0.21722046841775647,0.7797628986475205
ring_dual,z+pca10,cosine,average,4,0.24865773174103212,0.21722046841775647,0.7797628986475205
ring+whitehead+syll,z+pca10,cosine,average,4,0.24865773174103212,0.21722046841775647,0.7797628986475205
ring_autocorr,z+pca10,cosine,ward,3,0.24827654265861013,0.20729331041868657,0.7234374130350086
knots+ring,z+pca10,cosine,average,4,0.24818528677262647,0.20107992181853238,0.7720821506094506
ring_autocorr,z,euclidean,complete,5,0.24756278497266565,0.24354520291722512,0.7783714587855513
ring_autocorr,z+pca10,cosine,complete,3,0.24749814416640906,0.25884905962540156,0.7029554182668225
kmer3,z+pca10,cosine,complete,2,0.2472191874821773,0.2114649027543029,0.7631212778983691
kmer2,z,correlation,ward,2,0.24707200093336804,0.22301260419153313,0.7669616519174041
knots+ring,z,euclidean,kmeans,2,0.2470065662127799,0.2274164929800447,0.7682417765904157
knots+ring,z,cosine,kmeans,2,0.2470065662127799,0.2274164929800447,0.7682417765904157
knots+ring,z,correlation,kmeans,2,0.2470065662127799,0.2274164929800447,0.7682417765904157
kmer4,z+pca10,correlation,complete,2,0.2470065662127799,0.2274164929800447,0.7682417765904157
ring+whitehead+syll,z,euclidean,kmeans,2,0.2470065662127799,0.2274164929800447,0.7682417765904157
ring+whitehead+syll,z,cosine,kmeans,2,0.2470065662127799,0.2274164929800447,0.7682417765904157
ring+whitehead+syll,z,correlation,kmeans,2,0.2470065662127799,0.2274164929800447,0.7682417765904157
knots+ring,z+pca10,cosine,average,2,0.2467610846825689,0.24266258168408733,0.7720821506094506
knots+ring,z+pca10,correlation,average,2,0.2467610846825689,0.24266258168408733,0.7720821506094506
ring_dual,z+pca10,correlation,average,2,0.2467610846825689,0.24266258168408733,0.7720821506094506
