pres_id,bin,r1,r2,start_length,aut_class,greedy_solved,greedy_nodes,greedy_path,n_cov_tried,n_cov_solved,cov_solved,best_z,best_iso_gen,best_class,cov_nodes,cov_path,cov_min_path,node_cut,path_cut,flip
203,3,YYYXyyx,YYxYXYx,14,10,True,116,16,49,49,True,Xyy,x,moved,32,9,8,3.62,1.78,False
265,3,YYYXyyx,YYYxYxYX,15,49,True,121,21,52,51,True,xyX,x,relabel,62,11,11,1.95,1.91,False
579,3,YYYYYYXyyyyyx,YYYXYYxx,21,100,True,366,26,109,107,True,Xyyy,x,relabel,11,10,10,33.27,2.6,False
327,3,YYYYXyyyx,YYxYXX,15,66,True,273,29,58,52,True,yyyx,x,relabel,25,16,16,10.92,1.81,False
333,3,YYYYXyyyx,YYxyXYx,16,54,True,313,35,65,65,True,YYXyyy,x,relabel,22,15,15,14.23,2.33,False
380,3,YYYYXyyyx,YYYYxxyX,17,77,True,381,39,63,61,True,Xyyy,x,moved,22,15,15,17.32,2.6,False
546,4,YYYYYXyyyyx,YYXYYxYx,19,85,True,398,24,90,78,True,Xyyyy,x,relabel,15,12,11,26.53,2.0,False
548,4,YYYYYXyyyyx,YYxYYxyX,19,82,True,661,28,91,91,True,Xyyy,x,relabel,13,12,12,50.85,2.33,False
533,4,YYYYXyyyx,YYYXYxYx,17,69,True,438,43,69,68,True,Xyyy,x,relabel,23,16,16,19.04,2.69,False
589,4,YYYYYYXyyyyyx,YYYXYXYx,21,94,True,558,46,113,111,True,xyyyyyy,x,relabel,13,12,12,42.92,3.83,False
580,4,YYYYYYXyyyyyx,YYYxxYYX,21,101,True,875,47,109,98,True,Xyyyyy,x,relabel,25,17,17,35.0,2.76,False
609,4,YYYYYYYXyyyyyyx,YYYxYxyX,23,104,True,1217,56,140,101,True,Xyyy,x,moved,37,22,22,32.89,2.55,False
538,5,YYYYYXyyyyx,YYxYxYX,18,81,True,2261,25,85,84,True,Xyyy,x,relabel,13,12,12,173.92,2.08,False
606,5,YYYYYYYXyyyyyyx,YYYxxYYX,23,107,True,2023,39,138,126,True,Xyyyyy,x,relabel,17,14,14,119.0,2.79,False
544,5,YYYYYXyyyyx,YYYxyXYx,19,74,True,1569,75,89,83,True,xYXy,x,relabel,117,41,41,13.41,1.83,False
549,5,YYYYYXyyyyx,YYYxYxYX,19,84,True,1411,79,89,76,True,Xyyy,x,moved,226,54,47,6.24,1.46,False
543,5,YYYYYXyyyyx,YYYYXYxx,19,88,True,1813,81,85,71,True,Xyx,x,relabel,118,42,42,15.36,1.93,False
565,5,YYYYYYXyyyyyx,YYxyXYx,20,87,True,1404,145,109,67,True,xYXy,x,relabel,615,99,99,2.28,1.46,False
602,6,YYYYYYYXyyyyyyx,YYYxYXX,22,103,True,6285,56,134,79,True,YYxyyyyyyy,x,relabel,37,22,22,169.86,2.55,False
632,6,YYYYYYYYXyyyyyyyx,YYYYXXYx,25,111,True,6425,56,169,146,True,YYxyyyyyyyy,x,relabel,39,22,22,164.74,2.55,False
573,6,YYYYYYXyyyyyx,YYYYXYxx,21,98,False,10000,,109,18,True,Xyyy,x,relabel,3182,42,42,,,True
586,6,YYYYYYXyyyyyx,YYYYxYXX,21,99,True,9162,153,109,95,True,yyyyyx,x,relabel,616,100,100,14.87,1.53,False
581,6,YYYYYYXyyyyyx,YYYYxxYX,21,99,True,9567,153,109,95,True,Xyyyyy,x,relabel,632,100,100,15.14,1.53,False
575,6,YYYYYYXyyyyyx,YYYxyXYx,21,87,False,10000,,113,51,True,xYXy,x,relabel,615,99,99,,,True
568,7,YYYYYYXyyyyyx,YYXYXyx,20,93,False,10000,,108,36,True,XYxy,x,relabel,3181,42,42,,,True
