name,r1,r2,n_members,members,failed_arms,n_failed_arms,in_complete_10k,missing_arms_10k,baseline_solved,baseline_nodes,baseline_minL,s20_mk2_solved,s20_mk2_nodes,s20_mk2_minL,s20_mk2_mK2_solved,s20_mk2_mK2_nodes,s20_mk2_mK2_minL,s20_f4_solved,s20_f4_nodes,s20_f4_minL
ac19_1725,YYXXXXYxyxx,YYXXXXyxxxx,9,2320 3640 20298 52094 78630 114361 124037 147300 155737,s20_f4,1,true,,true,5688,2,true,1692,2,true,4162,2,false,10000,14
ac19_17343,YYYXXXXyyx,YYYYXXyyyyx,12,22638 28500 37735 83534 91474 96896 102218 105969 120168 127529 135190 141875,s20_f4,1,true,,true,3825,2,true,1664,2,true,3943,2,false,10000,14
ac19_17420,YYXXX,YYXYxyXyXyxYX,2,22752 92237,s20_mk2_mK2,1,true,,true,9731,2,true,331,2,false,10000,15,true,212,2
ac19_17455,YXXYxYxx,YYxyxxyXyXX,1,22796,s20_f4,1,true,,true,671,2,true,1510,2,true,1363,2,false,10000,14
ac19_17484,YXyXXXyx,YYYxxYxxyxYxyyX,1,22839,"baseline,s20_mk2,s20_mk2_mK2,s20_f4",4,true,,false,10000,19,false,10000,17,false,10000,17,false,10000,17
ac19_17550,YYXyxxxyyx,YYXXXYXXyyx,2,22940 123448,"baseline,s20_mk2_mK2",2,true,,false,10000,17,true,1330,2,false,10000,17,true,360,2
ac19_17581,YXXYx,YYYXyyxYXyxyyx,2,22983 84358,"baseline,s20_f4",2,true,,false,10000,18,true,605,2,true,4542,2,false,10000,18
ac19_177,YXXXXyXYx,YXXyxYXXXX,10,700 32509 34787 60573 73698 99467 105028 107113 122978 155252,"baseline,s20_f4",2,true,,false,10000,14,true,2695,2,true,5364,2,false,10000,14
ac19_17727,YXYXXYx,YYXYXXyyxx,2,23208 52670,s20_f4,1,true,,true,1954,2,true,1570,2,true,1856,2,false,10000,14
ac19_17954,YYXXX,YYYxYXXyXyXyx,1,23557,s20_mk2_mK2,1,true,,true,9733,2,true,333,2,false,10000,15,true,214,2
ac19_17957,YYXXXXyx,YXyxYXXXyxx,3,23562 77328 149490,"baseline,s20_mk2,s20_mk2_mK2,s20_f4",4,true,,false,10000,17,false,10000,17,false,10000,17,false,10000,17
ac19_18125,YYXXYXYYXXX,YYYxyyxYXXyX,1,23812,"baseline,s20_mk2,s20_mk2_mK2,s20_f4",4,true,,false,10000,19,false,10000,19,false,10000,19,false,10000,19
ac19_18168,YXYXXYx,YYxyXyxxxyXX,1,23887,s20_f4,1,true,,true,1954,2,true,1570,2,true,1856,2,false,10000,14
ac19_18221,YYXXXYX,YYXYYxyXXyX,1,23967,"baseline,s20_mk2_mK2",2,true,,false,10000,16,true,7792,2,false,10000,16,true,7294,2
ac19_18255,YXXyXyx,YYXXyXYxxxyx,1,24014,s20_f4,1,true,,true,1966,2,true,1584,2,true,2026,2,false,10000,14
ac19_18323,YYXXyxx,YYXXYYxYXYx,7,24116 48132 51797 67812 103242 117354 132948,s20_f4,1,true,,true,5132,2,true,636,2,true,473,2,false,10000,14
ac19_18329,YXyXXXyx,YYXyXYXyxyXyX,1,24127,baseline,1,true,,false,10000,17,true,8696,2,true,6258,2,true,8679,2
ac19_18333,YXXYx,YYYXXyyxyyxyyx,2,24131 52645,"baseline,s20_f4",2,true,,false,10000,18,true,500,2,true,3876,2,false,10000,18
ac19_1837,YXXyXyx,YYxyXyxxYX,3,2442 66562 75332,s20_f4,1,true,,true,1966,2,true,1584,2,true,2026,2,false,10000,14
ac19_18375,YXXYxxyX,YYXXyxxYXyX,3,24199 103820 127577,s20_f4,1,true,,true,1971,2,true,1584,2,true,1904,2,false,10000,14
ac19_18400,YXyXXXyx,YYXyXYxYxyxYxxyyX,1,24235,"baseline,s20_mk2,s20_mk2_mK2,s20_f4",4,true,,false,10000,17,false,10000,17,false,10000,17,false,10000,17
ac19_18413,YXYxxYXyxYXyx,YYXYxxYYxxYXyx,1,24252,s20_mk2_mK2,1,true,,true,1840,2,true,2497,2,false,10000,18,true,1488,2
ac19_185,YYXXXyx,YXXXXXYxx,20,709 10265 21266 34872 35848 40921 42396 47221 49437 73185 82256 98631 119693 123085 123726 129302 132448 136886 147088 150025,s20_f4,1,true,,true,1972,2,true,1584,2,true,1921,2,false,10000,14
ac19_18516,YYXXyxx,YYXYXXYYxyx,1,24430,"baseline,s20_mk2_mK2",2,true,,false,10000,15,true,6077,2,false,10000,15,true,5127,2
ac19_18524,YXXXYxxxyx,YYxYxxxyXXX,1,24442,s20_f4,1,true,,true,8296,2,true,5542,2,true,8128,2,false,10000,16
ac19_18581,YXXYx,YYYYXYXyxYXyyx,1,24537,"baseline,s20_mk2_mK2,s20_f4",3,true,,false,10000,18,true,7004,2,false,10000,18,false,10000,18
ac19_18644,YYXXyxx,YYXXYxYxyX,1,24637,baseline,1,true,,false,10000,16,true,6526,2,true,7540,2,true,2939,2
ac19_18718,YYXXXXYX,YYXYxxyyXXX,1,24753,s20_f4,1,true,,true,1965,2,true,1576,2,true,1989,2,false,10000,14
ac19_1880,YXXXXyXXyXX,YYXyyXXXXyXX,1,2486,"baseline,s20_f4",2,false,s20_mk2_mK2,false,10000,16,true,1782,2,missing,,,false,10000,15
