pres_id,bin,r1,r2,b1k_greedy_solved,b1k_greedy_nodes,b1k_greedy_path,b1k_heur_solved,b1k_heur_nodes,b1k_heur_path,bmax_w1_solved,bmax_w1_nodes,bmax_w1_path,bmax_w2_solved,bmax_w2_nodes,bmax_w2_path,bmax_w3_solved,bmax_w3_nodes,bmax_w3_path,bmax_w4_solved,bmax_w4_nodes,bmax_w4_path,bmax_w6_solved,bmax_w6_nodes,bmax_w6_path,bmax_w8_solved,bmax_w8_nodes,bmax_w8_path,bmax_w10_solved,bmax_w10_nodes,bmax_w10_path,bmax_w12_solved,bmax_w12_nodes,bmax_w12_path,bmax_w16_solved,bmax_w16_nodes,bmax_w16_path
624,8,YYYYYYYYXyyyyyyyx,YYxYXyx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
625,8,YYYYYYYYXyyyyyyyx,YYXYxyX,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
628,7,YYYYYYYYXyyyyyyyx,YYXyXyyx,False,1000,,True,106,36,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
632,6,YYYYYYYYXyyyyyyyx,YYYYXXYx,False,1000,,True,831,57,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
633,7,YYYYYYYYXyyyyyyyx,YYXyyxyx,False,1000,,True,107,36,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
634,9,YYYYYYYXyyyyyyx,YYYXyyxx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
635,9,YYYYYYYXyyyyyyx,YYYXXyyx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
636,9,YYYYYYYYXyyyyyyyx,YYYXYxyX,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
637,9,YYYYYYYYXyyyyyyyx,YYYXyxYX,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
638,9,YYYYYYYYXyyyyyyyx,YYYxyXYx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
639,9,YYYYYYYYXyyyyyyyx,YYYxYXyx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
