pres_id,bin,aut_class,n_cand,n_solving_cand,abel_min,n_tied_at_min,oracle_solved,oracle_nodes,greedy_orig_solved,greedy_orig_nodes,abel_top1_solved,abel_top1_nodes,abel_top1_z,abel_top1_iso_gen,abel_top1_cap,abel_top3_solved,abel_top3_cum_nodes,abel_top3_first_solver_rank,abel_top3_max_cap,adv_abel_top3_solved,lex_top3_solved,len_top3_solved,len_top3_max_cap,p_random_top3
596,7,97,138,0,2,16,False,,False,1000,False,1000,Xyy,x,33,False,,,33,False,False,False,31,0.0
605,8,97,142,0,2,14,False,,False,1000,False,1000,XYxy,x,31,False,,,31,False,False,False,31,0.0
610,8,97,141,0,2,14,False,,False,1000,False,1000,XYxy,x,31,False,,,35,False,False,False,31,0.0
625,8,106,169,0,2,17,False,,False,1000,False,1000,XYxy,x,33,False,,,33,False,False,False,33,0.0
622,8,106,169,0,2,17,False,,False,1000,False,1000,Xyy,x,35,False,,,35,False,False,False,33,0.0
624,8,106,169,0,2,21,False,,False,1000,False,1000,XYxy,x,33,False,,,37,False,False,False,33,0.0
623,8,106,169,0,2,21,False,,False,1000,False,1000,XYxy,x,33,False,,,33,False,False,False,33,0.0
634,9,108,138,1,2,18,True,410,False,1000,False,1000,XYYxyy,x,33,False,,,33,False,False,False,31,0.0217
635,9,108,134,1,2,16,True,410,False,1000,False,1000,YYYYYxyyyyyyy,x,31,False,,,31,False,False,False,31,0.0224
637,9,106,173,0,2,16,False,,False,1000,False,1000,XYxy,x,33,False,,,33,False,False,False,33,0.0
639,9,106,172,0,2,16,False,,False,1000,False,1000,XYxy,x,33,False,,,37,False,False,False,33,0.0
638,9,106,173,0,2,15,False,,False,1000,False,1000,Xyyy,x,35,False,,,35,False,False,False,33,0.0
636,9,106,172,0,2,15,False,,False,1000,False,1000,XYxy,x,33,False,,,33,False,False,False,33,0.0
