pres_id,bin,aut_class,start_length,r1,r2,b1k_greedy_solved,b1k_greedy_nodes,b1k_greedy_path,b1k_heur_solved,b1k_heur_nodes,b1k_heur_path,bestcov_z,bestcov_iso_gen,bestcov_iso_index,bestcov_class,bestcov_cap,bestcov_r1,bestcov_r2,bestcov_n_tied_starts,bestcov_prio,b1k_covgreedy_solved,b1k_covgreedy_nodes,b1k_covgreedy_path,b1k_covheur_solved,b1k_covheur_nodes,b1k_covheur_path,hsel_z,hsel_iso_gen,hsel_iso_index,hsel_class,hsel_cap,hsel_r1,hsel_r2,hsel_n_tied_starts,hsel_n_candidates,hsel_prio,same_as_bestcov,hsel_covgreedy_solved,hsel_covgreedy_nodes,hsel_covgreedy_path,hsel_covheur_solved,hsel_covheur_nodes,hsel_covheur_path
247,2,23,15,YYYXyyx,YYXyyXyx,true,46,9,true,70,13,XyyXy,x,1,relabel,27,XXXXXyxxYxx,YXXyyx,5,51.88402941176471,true,9,7,true,8,7,Yxyy,x,0,,23,YYxyx,YXXyxxx,1,55,46.07716666666666,false,true,60,10,true,73,14
265,3,49,15,YYYXyyx,YYYxYxYX,true,121,21,true,99,25,xyX,x,1,relabel,26,XXXXYxxyx,YxxxyxYXXX,1,60.921368421052634,true,62,11,true,74,15,yyX,x,0,,23,XYYXyXX,YxxxyXX,5,52,48.469071428571425,false,true,101,18,true,98,22
288,2,55,15,YYYYXXYx,YYYXyyx,true,106,17,true,97,21,Xyx,x,0,relabel,28,xyxxYXXXX,YxxxxyxYXXXX,1,63.08638095238095,true,12,9,true,10,9,xyyy,x,1,,23,XYYXy,YXXyxxx,1,48,46.07716666666666,false,true,47,10,true,73,14
323,0,2,15,YYYYYx,YYYYXyyyx,true,7,6,true,7,6,Xyyy,x,1,relabel,25,XXY,YXXXXyxxx,4,42.53,true,4,3,true,4,3,yyyy,x,0,,22,YYxxxy,Yxxxx,1,46,40.29181818181818,false,true,5,4,true,5,4
327,3,66,15,YYYYXyyyx,YYxYXX,true,273,29,true,198,34,yyyx,x,0,relabel,26,XXyXYxxxxY,YxxxyXXXX,1,60.921368421052634,true,25,16,true,26,16,yyXY,x,0,,25,YXyyXX,YxxxxyXXX,2,58,49.62583333333333,false,true,270,29,true,198,34
331,2,65,16,YYYYXyyyx,YYXYxYx,true,93,24,true,51,23,Xyx,x,1,relabel,29,XXXXXXYxxxyxx,YXXYxyxx,4,63.08638095238095,true,9,8,true,10,8,Xyxyy,x,1,,25,XXXXYxxxy,YYxyxx,4,65,49.62583333333333,false,true,29,10,true,77,19
333,3,54,16,YYYYXyyyx,YYxyXYx,true,313,35,true,224,31,YYXyyy,x,0,relabel,25,XXYxyXYxx,YXXXXyxxx,4,59.82511111111111,true,22,15,true,24,15,yXYx,x,1,,25,XXXXyxxxY,YxyXY,2,65,48.469071428571425,false,true,22,15,true,24,15
367,2,72,17,YYYYXyyyx,YYXYYxYx,true,83,21,true,64,25,Xyyy,x,0,relabel,34,XXXXXXyXXYxxxYxxxx,YXXXXyxxx,1,69.43474074074074,true,25,10,true,11,9,yyyXY,x,0,,25,XyXXYYX,YxxxxyXXX,4,70,50.763,false,true,61,17,true,100,22
380,3,77,17,YYYYXyyyx,YYYYxxyX,true,381,39,true,226,36,Xyyy,x,0,moved,25,XYYxy,YXXXXyxxx,1,48.469071428571425,true,22,15,true,24,15,Xyyy,x,0,moved,25,XYYxy,YXXXXyxxx,1,63,48.469071428571425,true,true,22,15,true,24,15
455,0,89,19,YYYYYXyyyyx,YYYYxYXX,true,10,9,true,10,9,yyyyx,x,0,moved,27,XY,YxxxxyXXXXX,1,43.656615384615385,true,3,2,true,3,2,yyyyx,x,0,moved,27,XY,YxxxxyXXXXX,1,85,43.656615384615385,true,true,3,2,true,3,2
496,0,68,18,YYYYYYYXyyyyyyx,YYX,true,4,3,true,4,3,YYYYYxyyyyyyy,x,0,relabel,31,XXYx,YXXXXXXyxxxxxxx,29,50.136421052631576,true,3,2,true,3,2,yyyyyyxYYYYY,x,0,,31,Y,YxxxxxxyXXXXXXX,1,110,44.411500000000004,false,true,3,2,true,3,2
505,1,105,22,YYYYYYYXyyyyyyx,YYXyyxx,true,34,23,true,23,17,Yxyy,y,1,moved,44,xxYxxYxxYxxYxxYXXyXXyXXyXXyX,YxxYxyXXyXX,1,139.20733333333334,true,15,14,true,15,14,xx,x,1,,31,XXXXXYxxxxxxyXX,YxxyyXX,4,133,57.32413636363636,false,true,32,21,true,22,17
521,0,83,21,YYYYYYYYXyyyyyyyx,YYYx,true,5,4,true,5,4,YXyy,x,0,relabel,33,XXXXXXXXYxxxxxxx,YXXXXXXXXyxxxxxxx,29,64.57745454545454,true,3,2,true,3,2,yyyyyyyyXYYYY,x,0,,33,Y,YxxxxxxxxyXXXXXXX,1,143,46.54866666666667,false,true,3,2,true,3,2
533,4,69,17,YYYYXyyyx,YYYXYxYx,true,438,43,true,227,38,Xyyy,x,0,relabel,34,XXXXXXXyXYxxxYxxxx,YXXXXyxxx,1,69.43474074074074,true,23,16,true,25,16,yyyXY,x,0,,25,XXyXYYX,YxxxxyXXX,4,69,50.763,false,true,270,32,true,225,35
