pres_id,bin,aut_class,start_length,r1,r2,cov_r1,cov_r2,cov_z,b1k_greedy_solved,b1k_covgreedy_solved,cov_helped_b1k,outcome,L_orig,L_cov,d_L,K_orig,K_cov,d_K,MK_orig,MK_cov,d_MK,S_orig,S_cov,d_S,xyimb_orig,xyimb_cov,d_xyimb,prio_orig,prio_cov,d_prio
333,3,54,16,YYYYXyyyx,YYxyXYx,XXYxyXYxx,YXXXXyxxx,YYXyyy,true,true,false,already_solved,16.0,18.0,2.0,5.0,5.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.375,0.4444444444444444,0.06944444444444442,57.5965,59.82511111111111,2.228611111111114
367,2,72,17,YYYYXyyyx,YYXYYxYx,XXXXXXyXXYxxxYxxxx,YXXXXyxxx,Xyyy,true,true,false,already_solved,17.0,27.0,10.0,5.0,5.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.4117647058823529,0.6296296296296297,0.21786492374727673,58.71752941176471,69.43474074074074,10.717211328976028
380,3,77,17,YYYYXyyyx,YYYYxxyX,XYYxy,YXXXXyxxx,Xyyy,true,true,false,already_solved,17.0,14.0,-3.0,4.0,4.0,0.0,2.0,2.0,0.0,1.25,1.25,0.0,0.4117647058823529,0.2857142857142857,-0.12605042016806722,51.88402941176471,48.469071428571425,-3.4149579831932826
455,0,89,19,YYYYYXyyyyx,YYYYxYXX,XY,YxxxxyXXXXX,yyyyx,true,true,false,already_solved,19.0,13.0,-6.0,4.0,3.0,-1.0,2.0,2.0,0.0,1.25,1.0,-0.25,0.47368421052631576,0.5384615384615384,0.06477732793522267,54.08786842105263,43.656615384615385,-10.431253036437248
496,0,68,18,YYYYYYYXyyyyyyx,YYX,XXYx,YXXXXXXyxxxxxxx,YYYYYxyyyyyyy,true,true,false,already_solved,18.0,19.0,1.0,3.0,3.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.6842105263157895,0.01754385964912286,49.07866666666666,50.136421052631576,1.0577543859649126
505,1,105,22,YYYYYYYXyyyyyyx,YYXyyxx,xxYxxYxxYxxYxxYXXyXXyXXyXXyX,YxxYxyXXyXX,Yxyy,true,true,false,already_solved,22.0,39.0,17.0,4.0,13.0,9.0,2.0,9.0,7.0,1.25,1.0,-0.25,0.5454545454545454,0.3333333333333333,-0.2121212121212121,57.32413636363636,139.20733333333334,81.88319696969697
521,0,83,21,YYYYYYYYXyyyyyyyx,YYYx,XXXXXXXXYxxxxxxx,YXXXXXXXXyxxxxxxx,YXyy,true,true,false,already_solved,21.0,33.0,12.0,3.0,3.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.7142857142857143,0.8181818181818182,0.10389610389610393,52.23542857142857,64.57745454545454,12.342025974025972
533,4,69,17,YYYYXyyyx,YYYXYxYx,XXXXXXXyXYxxxYxxxx,YXXXXyxxx,Xyyy,true,true,false,already_solved,17.0,27.0,10.0,5.0,5.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.4117647058823529,0.6296296296296297,0.21786492374727673,58.71752941176471,69.43474074074074,10.717211328976028
538,5,81,18,YYYYYXyyyyx,YYxYxYX,XXXYxxxYXyx,YXXXXXyxxxx,Xyyy,false,true,true,gain,18.0,22.0,4.0,5.0,5.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.4444444444444444,0.5454545454545454,0.101010101010101,59.82511111111111,64.15763636363636,4.332525252525244
543,5,88,19,YYYYYXyyyyx,YYYYXYxx,XXXXXXXXXYxxxxyxxxx,YXXXXYxyxxxx,Xyx,false,true,true,gain,19.0,31.0,12.0,4.0,5.0,1.0,2.0,3.0,1.0,1.25,1.0,-0.25,0.47368421052631576,0.6774193548387096,0.20373514431239387,54.08786842105263,73.59206451612903,19.504196095076395
