pres_id,bin,r1,r2,b1k_greedy_solved,b1k_greedy_nodes,b1k_greedy_path,b1k_heur_solved,b1k_heur_nodes,b1k_heur_path,mk_w2_solved,mk_w2_nodes,mk_w2_path,mk_w4_solved,mk_w4_nodes,mk_w4_path,mk_w6_418_solved,mk_w6_418_nodes,mk_w6_418_path,mk_w8_solved,mk_w8_nodes,mk_w8_path,mk_w10_solved,mk_w10_nodes,mk_w10_path,mk_w12_solved,mk_w12_nodes,mk_w12_path,mk_w16_solved,mk_w16_nodes,mk_w16_path,mk_w24_solved,mk_w24_nodes,mk_w24_path
455,0,YYYYYXyyyyx,YYYYxYXX,True,10,9,True,10,9,true,10,9,true,10,9,true,10,9,true,10,9,true,10,9,true,10,9,true,10,9,true,10,9
496,0,YYYYYYYXyyyyyyx,YYX,True,4,3,True,4,3,true,4,3,true,4,3,true,4,3,true,4,3,true,4,3,true,4,3,true,4,3,true,4,3
505,1,YYYYYYYXyyyyyyx,YYXyyxx,True,34,23,True,23,17,true,28,21,true,26,21,true,27,21,true,29,21,true,30,21,true,30,21,true,31,21,true,32,21
521,0,YYYYYYYYXyyyyyyyx,YYYx,True,5,4,True,5,4,true,5,4,true,5,4,true,5,4,true,5,4,true,5,4,true,5,4,true,5,4,true,5,4
533,4,YYYYXyyyx,YYYXYxYx,True,438,43,True,227,38,true,306,35,true,348,39,true,416,39,true,439,39,true,477,39,true,536,39,true,658,39,true,844,39
538,5,YYYYYXyyyyx,YYxYxYX,False,1000,,True,531,32,true,775,39,true,858,38,true,878,38,true,982,38,false,1000,,false,1000,,false,1000,,false,1000,
543,5,YYYYYXyyyyx,YYYYXYxx,False,1000,,True,160,52,false,1000,,true,589,59,true,461,55,true,465,55,true,470,55,true,478,55,true,488,55,true,492,55
544,5,YYYYYXyyyyx,YYYxyXYx,False,1000,,True,160,48,true,965,60,true,513,52,true,431,48,true,434,48,true,439,48,true,447,48,true,457,48,true,462,48
546,4,YYYYYXyyyyx,YYXYYxYx,True,398,24,True,111,23,true,176,24,true,191,24,true,241,33,true,346,33,true,384,33,true,436,33,true,543,33,true,760,33
548,4,YYYYYXyyyyx,YYxYYxyX,True,661,28,True,496,34,true,720,39,true,821,46,true,767,40,true,865,40,true,923,40,true,971,40,false,1000,,false,1000,
549,5,YYYYYXyyyyx,YYYxYxYX,False,1000,,True,137,47,true,617,67,true,352,59,true,282,55,true,287,55,true,294,55,true,301,55,true,312,55,true,316,55
565,5,YYYYYYXyyyyyx,YYxyXYx,False,1000,,True,422,99,false,1000,,false,1000,,false,1000,,true,985,97,true,986,97,true,995,97,false,1000,,false,1000,
568,7,YYYYYYXyyyyyx,YYXYXyx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
573,6,YYYYYYXyyyyyx,YYYYXYxx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
575,6,YYYYYYXyyyyyx,YYYxyXYx,False,1000,,True,422,102,false,1000,,false,1000,,false,1000,,true,994,100,true,994,100,false,1000,,false,1000,,false,1000,
578,7,YYYYYYXyyyyyx,YYXYYXyx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
579,3,YYYYYYXyyyyyx,YYYXYYxx,True,366,26,True,101,25,true,183,27,true,195,26,true,219,27,true,323,27,true,362,27,true,414,27,true,521,27,true,738,27
