pres_id,bin,aut_class,n_cand,n_solving_cand,oracle,greedy_b1k,abel_solved,abel_first_solve,abel_deployed,abel_len_lex_solved,abel_len_lex_first_solve,abel_len_lex_deployed,len_only_solved,len_only_first_solve,len_only_deployed,abel_mean_len_solved,abel_mean_len_first_solve,abel_mean_len_deployed,abel_len_mean_solved,abel_len_mean_first_solve,abel_len_mean_deployed,abel_min_len_solved,abel_min_len_first_solve,abel_min_len_deployed,abel_len_min_solved,abel_len_min_first_solve,abel_len_min_deployed,abel_min_solved,abel_min_first_solve,abel_min_deployed,abel_S_len_solved,abel_S_len_first_solve,abel_S_len_deployed,abel_len_S_solved,abel_len_S_first_solve,abel_len_S_deployed,abel_S_solved,abel_S_first_solve,abel_S_deployed,S_only_solved,S_only_first_solve,S_only_deployed,abel_s20mk2_solved,abel_s20mk2_first_solve,abel_s20mk2_deployed,abel_len_s20mk2_solved,abel_len_s20mk2_first_solve,abel_len_s20mk2_deployed,s20mk2_only_solved,s20mk2_only_first_solve,s20mk2_only_deployed
632,6,111,169,68,1,0,1,39,39,1,39,39,0,,3000,1,39,39,1,39,39,1,39,39,1,39,39,1,39,39,1,39,39,1,39,39,1,39,39,1,1108,1108,1,39,39,1,39,39,1,1726,1726
573,6,98,109,0,0,0,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000
586,6,99,109,1,1,0,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000
581,6,99,109,1,1,0,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000
575,6,87,113,10,1,0,1,1626,1626,1,626,626,1,626,626,1,626,626,1,626,626,1,626,626,1,626,626,1,615,615,1,626,626,1,626,626,1,1626,1626,0,,3000,1,626,626,1,626,626,0,,3000
568,7,93,108,0,0,0,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000
578,7,93,115,0,0,0,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000
583,7,93,116,0,0,0,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000
628,7,110,173,41,1,0,1,410,410,1,396,396,1,396,396,1,396,396,1,396,396,1,396,396,1,396,396,1,410,410,1,1396,1396,1,396,396,1,1410,1410,1,1884,1884,1,396,396,1,396,396,0,,3000
633,7,110,173,41,1,0,1,429,429,1,429,429,1,428,428,1,429,429,1,429,429,1,429,429,1,429,429,1,429,429,1,1429,1429,1,429,429,1,1429,1429,1,1158,1158,1,429,429,1,429,429,0,,3000
596,7,97,138,0,0,0,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000
605,8,97,142,0,0,0,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000
610,8,97,141,0,0,0,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000
625,8,106,169,0,0,0,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000
622,8,106,169,0,0,0,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000
624,8,106,169,0,0,0,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000
623,8,106,169,0,0,0,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000
634,9,108,138,1,1,0,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000
635,9,108,134,1,1,0,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000
637,9,106,173,0,0,0,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000
639,9,106,172,0,0,0,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000
638,9,106,173,0,0,0,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000
636,9,106,172,0,0,0,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000,0,,3000
