pres_id,bin,r1,r2,b1k_greedy_solved,b1k_greedy_nodes,b1k_greedy_path,b1k_heur_solved,b1k_heur_nodes,b1k_heur_path,kden_w5_solved,kden_w5_nodes,kden_w5_path,kden_w10_solved,kden_w10_nodes,kden_w10_path,kden_w20_solved,kden_w20_nodes,kden_w20_path,kden_w40_solved,kden_w40_nodes,kden_w40_path,kden_w80_solved,kden_w80_nodes,kden_w80_path,k_w0_5_solved,k_w0_5_nodes,k_w0_5_path,k_w1_solved,k_w1_nodes,k_w1_path,k_w2_solved,k_w2_nodes,k_w2_path,k_w2_53_solved,k_w2_53_nodes,k_w2_53_path,k_w5_solved,k_w5_nodes,k_w5_path,k_w8_solved,k_w8_nodes,k_w8_path,k_w10_solved,k_w10_nodes,k_w10_path,k_w16_solved,k_w16_nodes,k_w16_path
521,0,YYYYYYYYXyyyyyyyx,YYYx,True,5,4,True,5,4,true,5,4,true,5,4,true,6,4,true,7,5,true,7,5,true,5,4,true,5,4,true,5,4,true,5,4,true,5,4,true,5,4,true,5,4,true,5,4
533,4,YYYYXyyyx,YYYXYxYx,True,438,43,True,227,38,true,432,46,true,270,39,true,320,38,true,88,28,true,409,32,true,448,35,true,274,39,true,273,36,true,375,38,true,91,28,true,97,28,true,104,28,true,117,28
538,5,YYYYYXyyyyx,YYxYxYX,False,1000,,True,531,32,false,1000,,true,980,33,false,1000,,false,1000,,false,1000,,true,977,28,true,976,43,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
543,5,YYYYYXyyyyx,YYYYXYxx,False,1000,,True,160,52,false,1000,,true,993,77,false,1000,,true,267,54,true,189,46,false,1000,,false,1000,,true,568,60,true,448,58,true,298,54,true,163,44,true,167,44,true,181,44
544,5,YYYYYXyyyyx,YYYxyXYx,False,1000,,True,160,48,false,1000,,true,987,71,false,1000,,true,250,50,true,186,42,true,998,67,false,1000,,true,477,56,true,431,54,true,276,50,true,156,40,true,160,40,true,174,40
546,4,YYYYYXyyyyx,YYXYYxYx,True,398,24,True,111,23,true,392,25,true,311,30,true,417,32,true,108,26,true,195,30,true,258,25,true,347,28,true,432,32,true,122,23,true,158,23,true,189,25,true,228,25,true,391,25
548,4,YYYYYXyyyyx,YYxYYxyX,True,661,28,True,496,34,true,651,28,true,696,33,false,1000,,false,1000,,false,1000,,true,705,28,true,901,43,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
549,5,YYYYYXyyyyx,YYYxYxYX,False,1000,,True,137,47,false,1000,,false,1000,,true,652,68,true,171,49,true,169,50,false,1000,,true,687,66,true,344,55,true,280,53,true,160,49,true,138,47,true,145,47,true,163,47
565,5,YYYYYYXyyyyyx,YYxyXYx,False,1000,,True,422,99,false,1000,,false,1000,,false,1000,,false,1000,,true,519,91,false,1000,,false,1000,,false,1000,,false,1000,,true,918,115,true,594,87,true,575,87,true,596,87
568,7,YYYYYYXyyyyyx,YYXYXyx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
