pres_id,bin,aut_class,start_length,r1,r2,nodes_bestcov_b10k,nodes_greedy_b1M,nodes_stdcov_b1M,nodes_dualcov_b1M,nodes_hsearch_base_b100k,nodes_hsearch_reco_b100k,nodes_greedy_b10k,solved_bestcov_b10k,solved_greedy_b1M,solved_stdcov_b1M,solved_dualcov_b1M,solved_hsearch_base_b100k,solved_hsearch_reco_b100k,solved_greedy_b10k,best_z,best_cov_class,x_bestcov_greedy_b1M,x_bestcov_stdcov_b1M,x_bestcov_dualcov_b1M,x_bestcov_hsearch_base_b100k,x_bestcov_hsearch_reco_b100k,x_bestcov_greedy_b10k,nodes_bestcov_b20k,solved_bestcov_b20k,best_technique_is_oracle,best_technique,best_nodes
623,8,106,24,YYYYYYYYXyyyyyyyx,YYXyxYX,,59710,178211,65389,59710,62528,10000,False,True,True,True,True,True,False,yx,moved,4.16,12.42,4.56,4.16,4.36,,14352,True,True,bestcov_b20k,14352
634,9,108,23,YYYYYYYXyyyyyyx,YYYXyyxx,410,574348,165,3911,100000,25045,10000,True,True,True,True,False,True,False,YYxyy,moved,1400.85,0.4,9.54,,61.09,,410,True,True,stdcov_b1M,165
635,9,108,23,YYYYYYYXyyyyyyx,YYYXXyyx,410,574959,165,4098,100000,25041,10000,True,True,True,True,False,True,False,yyxYY,moved,1402.34,0.4,10.0,,61.08,,410,True,True,stdcov_b1M,165
637,9,106,25,YYYYYYYYXyyyyyyyx,YYYXyxYX,,271866,178211,65030,100000,62528,10000,False,True,True,True,False,True,False,xyyy,moved,18.86,12.36,4.51,,4.34,,14413,True,True,bestcov_b20k,14413
639,9,106,25,YYYYYYYYXyyyyyyyx,YYYxYXyx,,272953,178197,66418,100000,62509,10000,False,True,True,True,False,True,False,yyyX,moved,18.9,12.34,4.6,,4.33,,14444,True,True,bestcov_b20k,14444
638,9,106,25,YYYYYYYYXyyyyyyyx,YYYxyXYx,,213878,178205,65632,100000,62534,10000,False,True,True,True,False,True,False,xyX,relabel,14.78,12.32,4.54,,4.32,,14469,True,True,bestcov_b20k,14469
636,9,106,25,YYYYYYYYXyyyyyyyx,YYYXYxyX,,213882,178203,65838,100000,62515,10000,False,True,True,True,False,True,False,xyyyyy,relabel,14.8,12.33,4.56,,4.33,,14447,True,True,bestcov_b20k,14447
SOLVED_COUNT,,,,,,52/60,60/60,60/60,60/60,54/60,60/60,40/60,,,,,,,,,,,,,,,,60/60,,,,
MEAN_all60_censored,,,,,,1792.6,45244.2,26130.2,9754.1,19879.4,10244.0,4137.1,,,,,,,,,,,,,,,,2383.1,,,,
MEDIAN_all60_censored,,,,,,34.5,1310.5,69.5,438.5,1310.5,226.5,1310.5,,,,,,,,,,,,,,,,34.5,,,,
MEAN_solved_only,,,,,,530.0,45244.2,26130.2,9754.1,10977.1,10244.0,1205.7,,,,,,,,,,82.16,3.51,9.36,29.39,9.79,26.16,2383.1,,,,
MEDIAN_solved_only,,,,,,24.0,1310.5,69.5,438.5,609.5,226.5,197.0,,,,,,,,,,9.58,2.22,3.23,7.58,2.46,7.58,34.5,,,,
