pres_id,bin,r1,r2,b1k_greedy_solved,b1k_greedy_nodes,b1k_greedy_path,b1k_heur_solved,b1k_heur_nodes,b1k_heur_path,eq_a1_solved,eq_a1_nodes,eq_a1_path,eq_a2_solved,eq_a2_nodes,eq_a2_path,eq_a3_solved,eq_a3_nodes,eq_a3_path,eq_a4_solved,eq_a4_nodes,eq_a4_path,eq_a5_solved,eq_a5_nodes,eq_a5_path,eq_a6_solved,eq_a6_nodes,eq_a6_path,eq_a8_solved,eq_a8_nodes,eq_a8_path,eq_a10_solved,eq_a10_nodes,eq_a10_path,eq_a15_solved,eq_a15_nodes,eq_a15_path,eq_a20_solved,eq_a20_nodes,eq_a20_path,eq_a28_solved,eq_a28_nodes,eq_a28_path,eq_a40_solved,eq_a40_nodes,eq_a40_path
247,2,YYYXyyx,YYXyyXyx,True,46,9,True,70,13,true,43,9,true,43,9,true,49,9,true,49,9,true,31,13,true,27,13,true,39,13,true,39,13,true,49,13,true,60,13,true,72,13,true,94,13
265,3,YYYXyyx,YYYxYxYX,True,121,21,True,99,25,true,94,21,true,89,21,true,85,21,true,85,21,true,54,25,true,46,25,true,61,25,true,61,25,true,69,25,true,82,25,true,97,25,true,121,25
288,2,YYYYXXYx,YYYXyyx,True,106,17,True,97,21,true,91,17,true,86,17,true,81,17,true,81,17,true,52,21,true,44,21,true,59,21,true,59,21,true,67,21,true,80,21,true,95,21,true,119,21
323,0,YYYYYx,YYYYXyyyx,True,7,6,True,7,6,true,7,6,true,7,6,true,7,6,true,7,6,true,7,6,true,7,6,true,7,6,true,7,6,true,7,6,true,7,6,true,7,6,true,7,6
327,3,YYYYXyyyx,YYxYXX,True,273,29,True,198,34,true,182,29,true,170,29,true,177,28,true,173,28,true,155,32,true,155,32,true,162,32,true,47,25,true,78,25,true,152,25,true,316,25,true,663,25
331,2,YYYYXyyyx,YYXYxYx,True,93,24,True,51,23,true,106,24,true,110,24,true,115,24,true,119,24,true,105,28,true,41,23,true,55,23,true,48,21,true,59,21,true,70,21,true,82,21,true,104,21
333,3,YYYYXyyyx,YYxyXYx,True,313,35,True,224,31,true,243,37,true,243,25,true,193,25,true,185,25,true,173,29,true,177,29,true,183,29,true,72,27,true,79,21,true,154,21,true,319,21,true,664,21
367,2,YYYYXyyyx,YYXYYxYx,True,83,21,True,64,25,true,100,23,true,92,23,true,95,23,true,95,23,true,72,25,true,68,25,true,68,25,true,72,23,true,43,22,true,69,22,true,85,22,true,106,22
380,3,YYYYXyyyx,YYYYxxyX,True,381,39,True,226,36,true,244,41,true,243,30,true,193,30,true,185,30,true,175,34,true,179,34,true,185,34,true,74,32,true,79,26,true,154,26,true,319,26,true,664,26
455,0,YYYYYXyyyyx,YYYYxYXX,True,10,9,True,10,9,true,10,9,true,10,9,true,10,9,true,10,9,true,10,9,true,10,9,true,10,9,true,9,8,true,9,8,true,9,8,true,9,8,true,9,8
496,0,YYYYYYYXyyyyyyx,YYX,True,4,3,True,4,3,true,4,3,true,4,3,true,4,3,true,4,3,true,4,3,true,4,3,true,4,3,true,4,3,true,4,3,true,4,3,true,4,3,true,4,3
505,1,YYYYYYYXyyyyyyx,YYXyyxx,True,34,23,True,23,17,true,32,23,true,32,23,true,29,21,true,29,21,true,28,21,true,29,21,true,30,21,true,31,21,true,33,21,true,43,23,true,61,23,true,226,23
521,0,YYYYYYYYXyyyyyyyx,YYYx,True,5,4,True,5,4,true,5,4,true,5,4,true,5,4,true,5,4,true,5,4,true,5,4,true,5,4,true,5,4,true,5,4,true,5,4,true,5,4,true,5,4
533,4,YYYYXyyyx,YYYXYxYx,True,438,43,True,227,38,true,244,45,true,246,34,true,196,34,true,188,34,true,176,36,true,180,36,true,186,36,true,75,34,true,79,28,true,154,28,true,319,28,true,664,28
538,5,YYYYYXyyyyx,YYxYxYX,False,1000,,True,531,32,false,1000,,true,986,39,true,690,39,true,559,36,true,475,26,true,480,26,true,503,32,true,384,32,true,370,32,true,299,27,true,586,23,true,912,23
543,5,YYYYYXyyyyx,YYYYXYxx,False,1000,,True,160,52,true,968,83,false,1000,,true,729,72,true,394,62,true,220,60,true,197,58,true,173,56,true,162,56,true,131,44,true,191,44,true,313,44,true,531,44
