pres_id,bin,r1,r2,b1k_greedy_solved,b1k_greedy_nodes,b1k_greedy_path,b1k_heur_solved,b1k_heur_nodes,b1k_heur_path,s_w2_solved,s_w2_nodes,s_w2_path,s_w4_solved,s_w4_nodes,s_w4_path,s_w8_458_solved,s_w8_458_nodes,s_w8_458_path,s_w12_solved,s_w12_nodes,s_w12_path,s_w16_solved,s_w16_nodes,s_w16_path,s_w20_solved,s_w20_nodes,s_w20_path,s_w24_solved,s_w24_nodes,s_w24_path,s_w32_solved,s_w32_nodes,s_w32_path
331,2,YYYYXyyyx,YYXYxYx,True,93,24,True,51,23,true,61,24,true,51,24,true,50,26,true,47,25,true,55,25,true,33,11,true,33,11,true,33,11
333,3,YYYYXyyyx,YYxyXYx,True,313,35,True,224,31,true,148,31,true,122,31,true,81,27,true,78,27,true,133,32,true,128,32,true,128,30,true,128,30
367,2,YYYYXyyyx,YYXYYxYx,True,83,21,True,64,25,true,72,20,true,62,20,true,52,20,true,45,20,true,53,17,true,75,17,true,111,19,true,111,19
380,3,YYYYXyyyx,YYYYxxyX,True,381,39,True,226,36,true,150,35,true,124,35,true,92,32,true,88,32,true,174,37,true,184,47,true,205,45,true,228,45
455,0,YYYYYXyyyyx,YYYYxYXX,True,10,9,True,10,9,true,10,9,true,10,9,true,10,9,true,9,8,true,9,8,true,9,8,true,9,8,true,9,8
496,0,YYYYYYYXyyyyyyx,YYX,True,4,3,True,4,3,true,4,3,true,4,3,true,4,3,true,4,3,true,4,3,true,4,3,true,4,3,true,4,3
505,1,YYYYYYYXyyyyyyx,YYXyyxx,True,34,23,True,23,17,true,28,24,true,27,22,true,31,25,true,65,25,true,96,30,true,124,33,true,135,32,true,196,33
521,0,YYYYYYYYXyyyyyyyx,YYYx,True,5,4,True,5,4,true,5,4,true,5,4,true,5,4,true,5,4,true,5,4,true,5,4,true,5,4,true,5,4
533,4,YYYYXyyyx,YYYXYxYx,True,438,43,True,227,38,true,150,39,true,124,39,true,124,34,true,121,34,true,182,46,true,183,46,true,214,44,true,234,44
538,5,YYYYYXyyyyx,YYxYxYX,False,1000,,True,531,32,false,1000,,false,1000,,true,923,25,true,790,25,true,691,23,true,289,23,true,271,23,true,271,30
543,5,YYYYYXyyyyx,YYYYXYxx,False,1000,,True,160,52,false,1000,,true,983,77,true,546,74,true,435,74,true,534,77,true,462,77,true,460,77,true,682,86
544,5,YYYYYXyyyyx,YYYxyXYx,False,1000,,True,160,48,false,1000,,true,906,71,true,527,68,true,408,68,true,533,73,true,461,73,true,459,73,true,681,82
546,4,YYYYYXyyyyx,YYXYYxYx,True,398,24,True,111,23,true,289,24,true,227,24,true,165,24,true,189,34,true,185,34,true,170,23,true,157,22,true,268,22
548,4,YYYYYXyyyyx,YYxYYxyX,True,661,28,True,496,34,true,514,26,true,239,26,true,152,26,true,136,26,true,168,37,true,135,24,true,84,26,true,78,26
549,5,YYYYYXyyyyx,YYYxYxYX,False,1000,,True,137,47,false,1000,,true,944,77,true,648,68,true,626,66,true,807,66,true,731,66,true,856,71,false,1000,
565,5,YYYYYYXyyyyyx,YYxyXYx,False,1000,,True,422,99,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
568,7,YYYYYYXyyyyyx,YYXYXyx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
573,6,YYYYYYXyyyyyx,YYYYXYxx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
575,6,YYYYYYXyyyyyx,YYYxyXYx,False,1000,,True,422,102,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
578,7,YYYYYYXyyyyyx,YYXYYXyx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
