name,r1,r2,n_members,members,nodes_explored,min_relator_length
ac19_55679,YXXYx,YYXYxyyxxyXyX,3,103948 113979 139878,14,2
ac19_55680,YYXXyx,YYXyxyXyyxx,2,103952 155384,48,2
ac19_55682,YXXyXyX,YYxyxYYxyxyX,1,103957,40,2
ac19_55683,YXX,YYXXyXYxYXyyXYx,2,103960 113922,7,2
ac19_55684,YYXXyx,YYYXyXXyXYxyx,1,103964,25,2
ac19_55685,YYXXYx,YYXyxxyyxxyXX,1,103969,15,2
ac19_55688,YXXXyxYx,YXYXyXYxxyx,3,103974 130491 139787,32,2
ac19_55689,YXYXyx,YYYXXYxYxyXXX,1,103975,134,2
ac19_55690,YYXXYx,YYXXyyXXYYxxx,1,103976,21,2
ac19_55692,YXXYx,YYYYYYXXXyyXYx,1,103984,13,2
ac19_55694,YYXXX,YYXYXyyXXYxyxx,1,103987,12,2
ac19_55697,YYXXyx,YYXXXXXYYxx,1,103993,54,2
ac19_55698,YXYXyXyxx,YYXYXyXXyx,1,103994,24,2
ac19_55699,YXYXyx,YYXyyXXXXYxxxYX,1,103998,308,2
ac19_55700,YXYXyx,YYYXXXYYYXXXX,1,103999,27,2
ac19_55701,YYXXXYxx,YYXXXYYxx,1,104003,7,2
ac19_55702,YXYXXYXX,YYYYXXXXyyx,1,104004,15,2
ac19_55705,YXX,YYxyXXXyxYXyx,1,104009,9,2
ac19_55707,YXyXYxx,YYXXyyXyyxx,3,104020 107360 147972,70,2
ac19_55708,YXXX,YYYYYXyxyXyyxyX,1,104024,12,2
ac19_55710,YXXXYxx,YYYXXXXYYxx,1,104027,17,2
ac19_55713,YYXXX,YYYxYXXXyXyyxx,1,104032,9,2
ac19_55716,YXYXYx,YYYXXyyxxxyyX,1,104045,13,2
ac19_55719,YYXXX,YYXYxxxxyyXyyX,1,104051,7,2
ac19_55721,YXXX,YYYYXyyyxyxyXYx,1,104054,17,2
ac19_55722,YYXXyxxyx,YYXXyXyxYx,1,104056,8,2
ac19_55723,YYXXX,YYXXyXYXYxYXyX,1,104059,13,2
ac19_55726,YXYxyx,YYYYXXyxxxxyx,1,104072,10,2
ac19_55727,YYXXXXX,YYXyyXXXYxx,1,104076,9,2
ac19_55728,YXyXXyX,YYYxxxYxyxyxx,1,104077,11,2
ac19_55732,YXX,YYYxxYXyXyyXXyx,1,104085,7,2
ac19_55734,YXX,YYYXyyXXyXXYxYx,1,104095,7,2
ac19_55735,YYXXYx,YYYXYYXXXyxxx,1,104097,8,2
ac19_55737,YXYXyx,YYYYXyXXyyXYx,2,104099 121607,110,2
ac19_55740,YYXXYx,YYYxxyXXYXXYx,1,104105,15,2
ac19_55741,YYXXYXyxx,YYXyXyxyxx,1,104109,44,2
ac19_55742,YYXXYXX,YYYXyyyXXYxx,1,104110,11,2
ac19_55743,YXXYx,YYYxxxyyXyXXyx,1,104118,11,2
ac19_55744,YXXyXYx,YYYxYXyxyyXX,1,104120,59,2
ac19_55745,YXXX,YYYYYXyxxyxyyyX,1,104122,17,2
ac19_55746,YYXXyx,YYXyyXXyxxxYx,1,104126,19,2
ac19_55748,YXyXXyx,YYYxxyXyyXX,1,104130,400,2
ac19_55752,YYXXX,YYXXXXyXYxxyx,2,104141 125746,7,2
ac19_55753,YYXXXXyXX,YXXyXXYxxxxyX,1,104142,36,2
ac19_55756,YXYXyx,YYXXXYXyyXYxx,1,104146,34,2
ac19_55757,YXXX,YYYXYxyxyyXyX,1,104147,26,2
ac19_55758,YXYXyx,YYYYYxyyXXXyx,1,104154,16,2
ac19_55759,YYXXXyX,YYXyXYYXyXyx,1,104156,40,2
ac19_55760,YYXXX,YYXYYxyXXXyxyx,1,104159,10,2
ac19_55762,YYXXXyyxx,YYXXYxxyyX,1,104161,10,2
ac19_55764,YYXXX,YYXXXXYXyXYxx,2,104167 117448,11,2
ac19_55766,YXXYx,YYYxyXXXyxxyyx,1,104173,15,2
ac19_55768,YXXYxxyx,YYYYxxyxxyX,1,104175,16,2
ac19_55770,YXXYx,YYxxYXXYXXXyxx,1,104177,13,2
ac19_55772,YYXXYx,YYXyyxxyXyXYx,1,104181,12,2
ac19_55777,YXYXyx,YYYYXYxYXyXXX,1,104194,303,2
ac19_55779,YYXXXYYxx,YYxyXYxyX,4,104198 118484 134850 151016,58,2
ac19_55780,YXXYx,YYYXXyXYxYXyx,2,104204 112094,19,2
ac19_55781,YYXXYx,YYYYYYYXXYXyx,1,104206,20,2
ac19_55783,YXXXyxxYx,YYXyxYxYXX,1,104215,18,2
ac19_55785,YYXXyxx,YYYXXYxxYYX,1,104220,14,2
ac19_55787,YYXXYx,YYXyyxxYXyXYx,1,104222,16,2
ac19_55788,YXXXyxx,YYYXXXyXyxx,2,104232 114392,7,2
ac19_55789,YXXYx,YYXXXyyXYxyxYx,1,104234,11,2
ac19_55790,YYXXX,YYXXYXyyxYXyxx,1,104235,8,2
ac19_55791,YXXYx,YYXYYXYYXXXYxx,1,104239,12,2
ac19_55792,YXXXYxYx,YXYXXyxxyXyxx,1,104241,22,2
ac19_55793,YYXXYxxyyX,YYXXyxxxxyX,1,104250,11,2
ac19_55794,YYXXyx,YYXYYXXXyxyyx,1,104251,8,2
ac19_55795,YXYXX,YYXXyyxxYxYXyX,1,104253,9,2
ac19_55797,YXXYx,YYYXXYxYXyxxyX,1,104259,10,2
ac19_55798,YYXXYXyxx,YYYYYYXXyX,1,104263,41,2
ac19_55799,YXyXYxxx,YYYXyxxYxyx,1,104265,14,2
ac19_55800,YYXXyx,YXXyXXYxxxxyx,1,104278,21,2
ac19_55801,YYXXX,YYXYXyXyxyXYxx,1,104279,55,2
ac19_55803,YXXXyxx,YYYXyxxYxyyX,1,104282,13,2
ac19_55804,YXYXyx,YYXyXXXXYYxyx,2,104283 152241,192,2
ac19_55806,YYXXYx,YYXyXXYxYxxyX,1,104286,16,2
ac19_55811,YXXyXYx,YYxyXYXXyx,1,104305,155,2
ac19_55813,YXXYx,YYYYXXXXyxyxYx,1,104308,16,2
ac19_55814,YXXYx,YYYXyXyXXYxxyx,1,104310,12,2
ac19_55815,YYXXYx,YYXyXXyyxxx,3,104313 132255 151900,17,2
ac19_55816,YYXXyxx,YYYYYYxYXX,2,104314 105014,70,2
ac19_55819,YXXYx,YYYYXyxyXyyxyx,2,104321 128806,41,2
ac19_55820,YXYXX,YYYYYYXXXXyXXX,1,104326,30,2
