orbit_id,parent_class
orb_0196,sol_064
orb_0197,sol_024
orb_0197,sol_063
orb_0198,aca_12
orb_0199,sol_061
orb_0200,aca_9
orb_0201,aca_11
orb_0202,aca_9
orb_0203,aca_121
orb_0204,sol_026
orb_0204,sol_048
orb_0205,sol_025
orb_0206,aca_2
orb_0207,sol_110
orb_0208,sol_021
orb_0208,sol_055
orb_0209,sol_010
orb_0209,sol_039
orb_0209,sol_094
orb_0210,aca_13
orb_0211,aca_119
orb_0212,aca_8
orb_0213,sol_009
orb_0213,sol_038
orb_0213,sol_101
orb_0213,sol_111
orb_0214,sol_041
orb_0215,sol_046
orb_0216,sol_063
orb_0217,sol_063
orb_0218,aca_13
orb_0219,sol_026
orb_0219,sol_048
orb_0219,sol_055
orb_0220,sol_021
orb_0220,sol_026
orb_0220,sol_048
orb_0220,sol_055
orb_0221,aca_7
orb_0222,aca_17
orb_0223,aca_116
orb_0224,aca_116
orb_0225,aca_116
orb_0226,aca_116
orb_0227,sol_010
orb_0227,sol_039
orb_0228,sol_036
orb_0229,sol_037
orb_0230,sol_043
orb_0231,sol_044
orb_0232,sol_065
orb_0233,aca_29
orb_0234,aca_33
orb_0235,aca_20
orb_0236,aca_18
orb_0237,sol_065
orb_0238,aca_11
orb_0239,sol_040
orb_0240,aca_116
orb_0241,aca_117
orb_0242,sol_042
orb_0243,aca_10
orb_0244,aca_116
orb_0245,aca_117
orb_0246,aca_11
orb_0247,aca_117
orb_0248,aca_116
orb_0249,aca_116
orb_0250,aca_117
orb_0251,aca_30
orb_0252,sol_066
orb_0253,aca_118
orb_0254,aca_28
orb_0255,aca_26
orb_0256,sol_022
orb_0256,sol_027
orb_0257,aca_12
orb_0258,sol_062
orb_0259,aca_25
orb_0260,aca_21
orb_0261,sol_028
orb_0262,aca_9
orb_0263,aca_32
orb_0264,aca_32
orb_0265,aca_23
orb_0266,aca_22
orb_0267,sol_099
orb_0268,sol_020
orb_0269,aca_13
orb_0270,sol_042
orb_0271,aca_31
orb_0272,aca_27
orb_0273,aca_15
orb_0274,aca_1
orb_0275,sol_073
orb_0276,sol_010
orb_0276,sol_094
orb_0277,sol_011
orb_0278,aca_3
orb_0279,sol_072
orb_0280,aca_19
orb_0281,sol_096
orb_0282,sol_094
orb_0283,sol_099
orb_0284,sol_038
orb_0284,sol_101
orb_0285,sol_096
orb_0286,sol_101
orb_0287,sol_074
orb_0288,sol_090
orb_0289,aca_24
orb_0290,aca_9
orb_0291,sol_078
orb_0292,aca_24
orb_0293,aca_9
orb_0294,sol_039
orb_0295,sol_106
orb_0295,sol_112
orb_0296,sol_043
orb_0297,aca_29
orb_0298,sol_009
orb_0298,sol_023
orb_0298,sol_038
orb_0298,sol_091
orb_0298,sol_111
orb_0299,sol_106
orb_0299,sol_112
orb_0300,aca_16
orb_0301,sol_079
orb_0302,sol_108
orb_0303,aca_13
orb_0304,aca_13
orb_0305,sol_041
orb_0305,sol_099
orb_0306,sol_022
orb_0307,sol_022
orb_0307,sol_027
orb_0308,sol_022
orb_0308,sol_027
orb_0309,aca_12
orb_0310,aca_30
orb_0311,aca_12
orb_0312,sol_025
orb_0313,aca_30
orb_0314,aca_30
orb_0315,aca_31
orb_0316,aca_8
orb_0317,sol_053
orb_0318,sol_004
orb_0319,sol_006
orb_0320,sol_007
orb_0321,sol_061
orb_0322,aca_34
orb_0323,sol_057
orb_0324,sol_065
orb_0325,sol_066
orb_0326,sol_063
orb_0327,aca_9
orb_0328,aca_10
orb_0329,aca_10
orb_0330,aca_12
orb_0331,aca_11
orb_0332,aca_9
orb_0333,sol_066
orb_0334,sol_065
orb_0335,aca_122
orb_0336,sol_046
orb_0337,sol_049
orb_0338,sol_099
orb_0339,sol_054
orb_0339,sol_110
orb_0340,sol_011
orb_0340,sol_095
orb_0341,aca_53
orb_0342,aca_0
orb_0343,aca_3
orb_0344,sol_023
orb_0345,sol_099
orb_0346,sol_096
orb_0347,sol_021
orb_0348,sol_010
orb_0348,sol_039
orb_0349,sol_039
orb_0350,sol_046
orb_0351,sol_104
orb_0352,aca_35
orb_0353,aca_33
orb_0354,aca_4
orb_0355,sol_041
orb_0356,aca_32
orb_0357,sol_097
orb_0358,sol_100
orb_0359,sol_058
orb_0360,sol_049
orb_0360,sol_054
orb_0360,sol_110
orb_0361,sol_049
orb_0361,sol_054
orb_0361,sol_104
orb_0361,sol_110
orb_0362,sol_046
orb_0363,aca_31
orb_0364,aca_31
orb_0365,aca_7
orb_0366,sol_107
orb_0367,sol_058
orb_0368,sol_057
orb_0369,aca_36
orb_0370,aca_24
orb_0371,sol_089
orb_0372,sol_000
orb_0373,sol_057
orb_0374,sol_008
orb_0375,sol_047
orb_0376,aca_13
orb_0377,sol_025
orb_0377,sol_093
orb_0378,sol_011
orb_0378,sol_095
orb_0379,sol_092
orb_0380,sol_098
orb_0381,aca_14
orb_0382,aca_118
orb_0383,sol_048
orb_0384,sol_101
orb_0385,sol_048
orb_0386,aca_20
orb_0387,sol_086
orb_0388,aca_39
orb_0389,aca_120
orb_0390,aca_120
orb_0391,aca_120
orb_0392,aca_120
orb_0393,sol_088
orb_0394,sol_036
orb_0394,sol_043
orb_0395,aca_55
orb_0396,aca_44
orb_0397,aca_33
orb_0398,aca_35
orb_0399,sol_087
orb_0400,aca_4
orb_0401,aca_20
orb_0402,aca_42
orb_0403,aca_40
orb_0404,aca_18
orb_0405,aca_48
orb_0406,aca_12
orb_0407,aca_12
orb_0408,aca_121
orb_0409,aca_121
orb_0410,aca_121
