name,r1,r2,n_members,members,nodes_explored,min_relator_length
ac19_39281,YXYXyx,YYXXXyxyXXYYxYx,1,62824,823,2
ac19_39334,YXYXyx,YYYXYYxyXXXXX,1,62936,882,2
ac19_39427,YXYXyx,YYYxyyXyyXXYx,1,63133,625,2
ac19_39466,YXYXyx,YYXXyXXYXYYxx,2,63204 87702,765,2
ac19_39565,YXyXXyx,YYxxxyxyXYXYx,2,63401 79815,637,2
ac19_39661,YXyXXyx,YYYxYxyxyxx,2,63588 80825,915,2
ac19_39718,YXYXyx,YYXYxyXyyXXyxxx,2,63706 79901,750,2
ac19_39849,YXXYx,YYYXyyyXXyxYYx,1,63993,613,2
ac19_40014,YXYXyx,YYXYxYYXXXyXX,3,64358 80535 142544,520,2
ac19_40214,YXYXyx,YYXXyyXXXYxYxyx,2,64809 116343,786,2
ac19_40318,YXYXyx,YYYXyxyXyXyxxYx,1,65069,720,2
ac19_40434,YXYXyx,YYYxYxyyxyXXyyX,1,65341,718,2
ac19_40503,YXXYx,YYYXYYxxyXXXyx,1,65483,609,2
ac19_40522,YXXYx,YYXXyyxyXYxyxx,1,65524,629,2
ac19_40527,YXyXXyx,YYYxyxyxYxxYXyx,2,65529 153807,652,2
ac19_40658,YXYxyx,YYXXXYxyXyyxx,2,65829 148120,837,2
ac19_40908,YXYXyx,YYYXXXXyyyxYx,2,66375 122502,770,2
ac19_40963,YXXYx,YYYxyyXYXyxyyx,1,66493,992,2
ac19_41045,YXYXyx,YYYXXXXXYxyXYYx,2,66696 103107,721,2
ac19_41281,YXXXyxx,YYXXyXYXXXXyx,2,67259 129179,645,2
ac19_41303,YXXYx,YYYXyyxyXYXYYx,1,67309,621,2
ac19_41374,YXXXyxx,YYXyxYxxyxxx,1,67462,651,2
ac19_41596,YXYXyx,YYYXyxyXXyXYYYx,2,67983 150158,757,2
ac19_41768,YXyXXyx,YYXyyxxyXYX,2,68397 137648,596,2
ac19_41786,YXYXyx,YYXXXXyyxYxxx,2,68437 71066,711,2
ac19_41818,YXyXXyx,YYYXyyxxYxx,1,68522,792,2
ac19_41876,YXyXXyx,YYxyxyXyXYX,2,68645 71451,768,2
ac19_42047,YXyXXyx,YYXYxyXyyxYYxxx,2,69052 146089,768,2
ac19_42126,YXyXXXyx,YYXYxyxYxyXyx,1,69215,737,2
ac19_42266,YXYXyx,YYXyXXXyXYYxx,2,69496 151466,991,2
ac19_42319,YXYXyx,YYYXyxyXXyyxYxx,1,69644,793,2
ac19_42442,YXYXyx,YYXYxYxyXyXXX,2,69928 153313,632,2
ac19_42471,YXYXyx,YYXyyXXXYxxYx,1,69999,798,2
ac19_42517,YXYxyx,YYXXyyxxxyyXX,1,70092,837,2
ac19_42595,YXyXXyx,YYxyxxyxYXXYx,2,70266 144002,755,2
ac19_42844,YXYXyx,YYXXXXyXYYxYx,4,70825 98797 128858 138600,822,2
ac19_42846,YXYXyx,YYYXXXyxyXXyxxx,1,70828,580,2
ac19_43045,YXyXXXyx,YYXXyXYxyXyyX,2,71339 146467,673,2
ac19_43070,YXYXyx,YYYXXyXXXYxYxyx,1,71402,750,2
ac19_43148,YXXYx,YYXYYxyyXYXyyx,1,71568,962,2
ac19_43199,YXYXyx,YYXYxyyXyXyxxxx,2,71690 83918,655,2
ac19_43305,YXyXXXyx,YYYxxyxxx,1,71967,728,2
ac19_43353,YXYXyx,YYXyXyXyxxYxxYX,1,72078,722,2
ac19_43505,YXYXyx,YYXXXyyXXYYxxyx,1,72415,770,2
ac19_43511,YXYXyx,YYXyyXXyxxxYx,2,72425 99850,682,2
ac19_43549,YXYXyx,YYYxxYYXyXyyX,2,72508 109633,546,2
ac19_43824,YXYXyx,YYXYxxyyXXXyyxx,1,73147,592,2
ac19_43844,YXXYx,YYYYXXYYXYXyyx,1,73186,611,2
ac19_44077,YXYXyx,YYXXXXyXyxxYxyx,1,73726,546,2
ac19_44253,YXyXXXyX,YYYXyxYxxyxyx,1,74154,622,2
ac19_44344,YXYXyx,YYYxyXYXyXyXXYx,2,74377 104419,835,2
ac19_44350,YXXYxxyx,YYYXXYxyyxx,1,74391,898,2
ac19_44359,YXYXyx,YYXXXyXyyxYxx,2,74410 80405,764,2
ac19_44381,YXXYXXyxx,YXyXyxxxxx,1,74462,985,2
ac19_44414,YXXYx,YYYYxyyXYXyyx,1,74538,842,2
ac19_44431,YXYXyx,YYYXyXXyyxyxx,2,74581 142698,640,2
ac19_44499,YXyXXyx,YYYYxyxyxYXXyXyx,2,74712 86290,595,2
ac19_44557,YXYXyx,YYYXXyyxyyxxx,2,74852 120405,839,2
ac19_44571,YXYXyx,YYYXXyXXXXYxx,2,74893 120819,654,2
ac19_44661,YXyXXyX,YYXXXyxxyxYXXyx,1,75153,992,2
ac19_44691,YXYXyx,YYYXyxyXXXyxxxx,1,75208,818,2
ac19_44748,YXYXyx,YYXYxxyXyXXyXYx,2,75339 142040,542,2
ac19_45259,YXXYx,YYYYXXYXyxYYYX,2,76536 109930,609,2
ac19_45272,YXXYx,YYYYxYXyyyXYXyyx,1,76566,992,2
ac19_45288,YXyXXyx,YYXyXYxYxyxyxyX,2,76611 109786,721,2
ac19_45338,YXYXyx,YYYXYxYYXyXXX,1,76718,548,2
ac19_45345,YXYXyx,YYYxxxYXyyXyX,2,76751 109816,740,2
ac19_45455,YXyXXXyx,YYYxyxYxxyxYXyx,2,77034 93813,834,2
ac19_45474,YXyXXXyx,YYXXXyXyxyx,2,77084 84002,677,2
ac19_45490,YXYXyx,YYYXXyxyyXXyxxx,1,77132,550,2
ac19_46032,YXYXyx,YYYxxxYXXyxyXyX,1,78423,548,2
ac19_46112,YXYXyx,YYYXYxyXXyyXXYx,1,78602,521,2
ac19_46233,YXXyxxYXXXyxx,YYXXXyxxYXXXyX,1,78915,976,2
ac19_46240,YXyXXyx,YYXyxxyyxYX,2,78933 92584,765,2
ac19_46373,YXXYx,YYXYXYxxxYXyyX,1,79263,620,2
ac19_46403,YXyXXyx,YYXYxyXXyxyxx,1,79332,809,2
ac19_46408,YXyXXyx,YYXYxxyyxyX,2,79347 88756,657,2
ac19_46534,YXyXXyx,YYxxyXyxyxYXX,2,79692 83841,502,2
ac19_46572,YXXyxYx,YYYYYxxyyX,1,79818,689,2
ac19_46630,YXYXyx,YYYYXyxyXyyXXYx,1,79987,623,2
ac19_46638,YXyXYxx,YYYxYXXyXXyyxyx,3,80002 115733 128517,720,2
ac19_46828,YXXYx,YYYXXyyxyxyx,3,80462 123844 155430,610,2
ac19_46995,YXYXyx,YYYXyyXXyxxxx,2,80900 145296,521,2
ac19_47004,YXXXyxx,YYXXyxxxYxyx,1,80919,644,2
ac19_47190,YXYXyx,YYYYxyyyXXXYxyX,1,81369,521,2
ac19_47622,YXYXyx,YYYYxyXyyXXYx,1,82376,999,2
ac19_47664,YXXXyxx,YYXXyXYXXyX,6,82491 91437 123070 133000 135769 148768,658,2
ac19_47716,YXYXyx,YYXXyxyXXXYxYYx,2,82615 113261,768,2
ac19_47723,YXyXXXyx,YYYxyxYxyyx,2,82633 131515,664,2
ac19_47817,YXYXyx,YYXYxxyXyXyXYYx,1,82895,732,2
ac19_47867,YXXYx,YYYXXyyxxYXYX,2,83027 99119,612,2
ac19_47981,YXYXyx,YYYXyXyXyxyxx,1,83340,506,2
ac19_48033,YXYXyx,YYXXyXXXyXYxxYxyx,2,83479 135269,650,2
ac19_48413,YXXYx,YYXXyyxyXYxyx,2,84538 85104,610,2
ac19_48471,YXYXyx,YYXyXXyyxYxYxyx,2,84670 123922,542,2
ac19_48604,YXXXXyXyX,YYxyxyxYxx,1,85026,647,2
ac19_48763,YXyXXyx,YYXXYxxxyxx,2,85394 117811,504,2
ac19_48846,YXXYx,YYYXYXYYXXXYxx,1,85613,609,2
