name,arm,solved,nodes_explored,path_length,budget,max_relator_length
ac19_10175,greedy,1,7,6,10000,48
ac19_10176,greedy,1,3818,167,10000,48
ac19_10177,greedy,1,60,25,10000,48
ac19_10178,greedy,1,7,6,10000,48
ac19_10179,greedy,1,60,12,10000,48
ac19_1018,greedy,1,4483,28,10000,48
ac19_10180,greedy,1,12,10,10000,48
ac19_10181,greedy,1,195,30,10000,48
ac19_10182,greedy,1,9,8,10000,48
ac19_10183,greedy,1,7,6,10000,48
ac19_10184,greedy,1,2581,45,10000,48
ac19_10185,greedy,1,1101,104,10000,48
ac19_10186,greedy,1,22,16,10000,48
ac19_10187,greedy,1,11,9,10000,48
ac19_10188,greedy,1,30,12,10000,48
ac19_10189,greedy,1,15,12,10000,48
ac19_1019,greedy,1,274,25,10000,48
ac19_10190,greedy,1,7,6,10000,48
ac19_10191,greedy,1,7,6,10000,48
ac19_10192,greedy,1,18,13,10000,48
ac19_10193,greedy,1,1683,61,10000,48
ac19_10194,greedy,1,310,68,10000,48
ac19_10195,greedy,1,11,9,10000,48
ac19_10196,greedy,1,1077,31,10000,48
ac19_10197,greedy,1,49,11,10000,48
ac19_10198,greedy,1,54,8,10000,48
ac19_10199,greedy,1,16,12,10000,48
ac19_102,greedy,1,7786,43,10000,48
ac19_1020,greedy,1,10,8,10000,48
ac19_10200,greedy,1,6,5,10000,48
ac19_10201,greedy,1,32,20,10000,48
ac19_10202,greedy,1,13,12,10000,48
ac19_10203,greedy,1,5,4,10000,48
ac19_10204,greedy,1,14,12,10000,48
ac19_10205,greedy,1,184,29,10000,48
ac19_10206,greedy,1,275,30,10000,48
ac19_10207,greedy,1,8,7,10000,48
ac19_10208,greedy,1,18,13,10000,48
ac19_10209,greedy,1,9,8,10000,48
ac19_1021,greedy,1,6,5,10000,48
ac19_10210,greedy,1,1075,89,10000,48
ac19_10211,greedy,1,198,56,10000,48
ac19_10212,greedy,1,6,5,10000,48
ac19_10213,greedy,1,6,5,10000,48
ac19_10214,greedy,1,7,6,10000,48
ac19_10215,greedy,1,321,15,10000,48
ac19_10216,greedy,1,50,16,10000,48
ac19_10217,greedy,1,8,7,10000,48
ac19_10218,greedy,1,44,12,10000,48
ac19_10219,greedy,1,315,68,10000,48
ac19_1022,greedy,1,37,17,10000,48
ac19_10220,greedy,1,9,8,10000,48
ac19_10221,greedy,1,113,31,10000,48
ac19_10222,greedy,1,337,38,10000,48
ac19_10223,greedy,1,6,5,10000,48
