pres_id,kind,nodes_1M,klass,n_cov,n_relabel,n_moved,base_solved,base_nodes,base_path,n_cov_solved,relabel_solved,moved_solved,fewer,equal,more,cov_unsolved,best_z,best_class,best_nodes,best_path,min_path,node_cut,path_cut
623,ladder,,never,169,155,14,False,,,0,0,0,,,,,,,,,,,
624,ladder,,never,169,155,14,False,,,0,0,0,,,,,,,,,,,
625,ladder,,never,169,155,14,False,,,0,0,0,,,,,,,,,,,
628,ladder,,flip,173,154,19,False,,,83,69,14,,,,,YYYYYYYxyyyyyyy,relabel,158,51,48,,
632,ladder,,baseline_solved,169,153,16,True,6425,56,146,135,11,117,0,29,23,YYxyyyyyyyy,relabel,39,22,22,164.74,2.55
633,ladder,,flip,173,154,19,False,,,89,74,15,,,,,XYYxyy,relabel,158,51,48,,
634,ladder,,flip,138,116,22,False,,,55,47,8,,,,,YYxyy,moved,410,38,38,,
635,ladder,,flip,134,116,18,False,,,54,47,7,,,,,yyxYY,moved,410,38,38,,
636,ladder,,never,172,156,16,False,,,0,0,0,,,,,,,,,,,
637,ladder,,never,173,156,17,False,,,0,0,0,,,,,,,,,,,
638,ladder,,never,173,156,17,False,,,0,0,0,,,,,,,,,,,
639,ladder,,never,172,156,16,False,,,0,0,0,,,,,,,,,,,
77,ladder,,baseline_solved,43,31,12,True,11,8,43,31,12,10,4,29,0,Xy,moved,7,6,6,1.57,1.33
14_1,reach,,never,50,40,10,False,,,0,0,0,,,,,,,,,,,
17_41,reach,,never,62,54,8,False,,,0,0,0,,,,,,,,,,,
19_40,reach,,never,56,54,2,False,,,0,0,0,,,,,,,,,,,
25_1,reach,,never,169,157,12,False,,,0,0,0,,,,,,,,,,,
25_17,reach,,never,174,165,9,False,,,0,0,0,,,,,,,,,,,
AK(3),reach,,never,34,30,4,False,,,0,0,0,,,,,,,,,,,
