name,kind,mu,short_relator,bin,bin_lo_nodes,bin_hi_nodes,baseline_nodes,baseline_solved,baseline_censored_at_100k,baseline_path,s12_solved,s12_nodes,s12_path,s28_solved,s28_nodes,s28_path,s20_mk2_solved,s20_mk2_nodes,s20_mk2_path,s24_k1_mk2_solved,s24_k1_mk2_nodes,s24_k1_mk2_path,difficulty_rank
orb_0256,moved_cov,17,False,1,10,34,12,True,False,11,True,18,11,True,28,11,True,24,11,True,23,11,125
orb_0326,moved_cov,18,False,1,10,34,12,True,False,11,True,12,11,True,12,11,True,12,11,True,12,11,126
orb_0693,moved_cov,22,False,1,10,34,12,True,False,11,True,12,11,True,12,11,True,12,11,True,12,11,127
orb_0261,moved_cov,17,False,1,10,34,13,True,False,11,True,13,11,True,13,11,True,13,11,True,13,11,128
orb_0302,moved_cov,17,False,1,10,34,14,True,False,11,True,14,11,True,25,11,True,19,11,True,20,11,129
orb_0358,moved_cov,18,False,1,10,34,14,True,False,8,True,17,13,True,26,11,True,17,13,True,16,13,130
orb_0414,moved_cov,19,False,1,10,34,15,True,False,12,True,13,12,True,13,12,True,13,12,True,13,12,131
orb_0614,seed,21,False,1,10,34,15,True,False,12,True,15,12,True,26,14,True,20,12,True,22,12,132
orb_0703,moved_cov,22,False,1,10,34,15,True,False,12,True,15,12,True,53,19,True,21,12,True,22,13,133
orb_0156,moved_cov,15,False,1,10,34,16,True,False,12,True,13,12,True,13,12,True,13,12,True,13,12,134
orb_0285,moved_cov,17,False,1,10,34,16,True,False,7,True,18,11,True,21,13,True,17,11,True,18,11,135
orb_0794,moved_cov,23,False,1,10,34,16,True,False,8,True,26,8,True,33,12,True,10,8,True,28,13,136
orb_0063,seed,13,False,1,10,34,17,True,False,12,True,14,12,True,17,12,True,14,12,True,14,12,137
orb_0069,seed,13,False,1,10,34,17,True,False,12,True,14,12,True,16,14,True,14,12,True,14,12,138
orb_0038,moved_cov,12,False,1,10,34,19,True,False,7,True,15,7,True,21,8,True,35,15,True,26,15,139
orb_0357,moved_cov,18,False,1,10,34,19,True,False,10,True,139,16,True,148,18,True,43,16,True,29,16,140
orb_0110,moved_cov,14,False,1,10,34,20,True,False,13,True,17,13,True,20,15,True,16,13,True,16,13,141
orb_0112,moved_cov,14,False,1,10,34,20,True,False,13,True,15,13,True,16,13,True,16,13,True,16,13,142
orb_0149,moved_cov,15,False,1,10,34,20,True,False,8,True,16,8,True,22,12,True,37,16,True,29,16,143
orb_0387,moved_cov,19,False,1,10,34,20,True,False,14,True,16,14,True,17,14,True,16,14,True,16,14,144
orb_0512,moved_cov,20,False,1,10,34,20,True,False,11,True,13,11,True,13,11,True,13,11,True,13,11,145
orb_0694,moved_cov,22,False,1,10,34,20,True,False,12,True,139,15,True,145,17,True,42,15,True,28,15,146
orb_0073,seed,13,False,1,10,34,21,True,False,14,True,22,14,True,19,14,True,155,23,True,117,23,147
orb_0451,moved_cov,19,False,1,10,34,22,True,False,12,True,17,10,True,20,12,True,17,10,True,17,10,148
orb_0298,seed,17,False,1,10,34,23,True,False,15,True,44,22,True,75,20,True,76,22,True,112,22,149
orb_0301,moved_cov,17,False,1,10,34,23,True,False,15,True,11,9,True,14,9,True,11,9,True,12,9,150
orb_0317,moved_cov,17,False,1,10,34,23,True,False,15,True,64,16,True,127,27,True,117,27,True,100,29,151
orb_0530,seed,20,False,1,10,34,24,True,False,16,True,64,17,True,124,26,True,85,27,True,100,29,152
orb_0148,moved_cov,15,False,1,10,34,26,True,False,10,True,18,10,True,33,9,True,31,9,True,36,14,153
orb_0185,moved_cov,15,False,1,10,34,26,True,False,11,True,20,11,True,32,10,True,30,10,True,35,15,154
orb_0759,moved_cov,23,False,1,10,34,26,True,False,17,True,65,17,True,77,24,True,97,27,True,102,28,155
orb_0161,moved_cov,15,False,1,10,34,27,True,False,10,True,17,10,True,27,10,True,25,11,True,24,11,156
orb_0435,moved_cov,19,False,1,10,34,27,True,False,12,True,20,12,True,26,12,True,37,17,True,29,17,157
orb_0081,moved_cov,13,False,1,10,34,29,True,False,11,True,13,10,True,15,11,True,13,10,True,42,19,158
orb_0102,moved_cov,14,False,1,10,34,29,True,False,17,True,24,17,True,24,17,True,23,17,True,23,17,159
orb_0374,moved_cov,18,False,1,10,34,29,True,False,13,True,22,13,True,28,13,True,28,14,True,27,14,160
orb_0980,moved_cov,26,False,1,10,34,29,True,False,14,True,30,14,True,78,14,True,115,29,True,121,29,161
orb_0072,seed,13,False,1,10,34,31,True,False,18,True,27,18,True,24,18,True,106,30,True,125,30,162
orb_0099,moved_cov,14,False,1,10,34,31,True,False,19,True,20,15,True,20,15,True,106,30,True,125,30,163
orb_0111,moved_cov,14,False,1,10,34,31,True,False,17,True,20,15,True,21,17,True,20,15,True,20,15,164
orb_0115,moved_cov,14,False,1,10,34,31,True,False,19,True,23,17,True,104,25,True,105,29,True,124,29,165
orb_0175,moved_cov,15,False,1,10,34,31,True,False,9,True,12,9,True,12,9,True,12,9,True,42,18,166
orb_0109,moved_cov,14,False,1,10,34,32,True,False,17,True,21,15,True,22,17,True,20,15,True,20,15,167
orb_0114,moved_cov,14,False,1,10,34,32,True,False,19,True,30,21,True,30,21,True,107,30,True,127,30,168
